name,wikidata_id,label,score
business segment risk committee,,,
c,,,
caiso,Q16850559,California Independent System Operator,100.0
california minority counsel program,,,
canada gen investment corporation,,,
"capital one , n.a .",,,
capital one bank ( canada ),,,
"capital one bank ( usa ) , n.a .",,,
capital one canada,,,
capital one financial corporation,Q1034654,Capital One,100.0
capital one global corporation,,,
capital one north america,,,
captive insurance subsidiary,,,
captive insurer,,,
carnegie-mellon university,,,
carolina power and light company,Q5044880,Carolina Power & Light,93.0
"carolinapower and light company d/b/a duke energy progress , inc .",,,
cat,,,
cat fin,,,
caterpillar inc .,Q459965,Caterpillar Inc.,100.0
caterpillar insurance co. ltd .,,,
caterpillar insurance company,,,
caterpillar insurance holding inc .,,,
caterpillar insurance service corporation,,,
caterpillar life insurance company,,,
caterpillar product service corporation,,,
cccl,,,
cccl parent,,,
cccl parent llc,,,
cch,,,
cchmo parent llc,,,
cctmo llc,,,
cctmollc,,,
"cedar point ii wind , lp",,,
central forecasting team,,,
centurion bank,,,
certain u.s. subsidiary,,,
certain vies,,,
cgmh,,,
cgmhi,,,
cgmi,,,
charitable foundation,,,
charitable organization,,,
"charles schwab & co. , inc .",Q1066028,Charles Schwab Corporation,100.0
charles schwab bank,,,
charles schwab corporation,Q1066028,Charles Schwab Corporation,100.0
chase bank usa,,,
"chase bank usa , n.a .",,,
chattanooga gas,,,
chevron canada,,,
chevron international,,,
chevron u.s.a. inc .,,,
chevrontexaco,Q319642,Chevron Corporation,100.0
chief communication officer,,,
chief executive officer,,,
chief financial officer,,,
chief global supply chain officer,,,
chief scientific officer,,,
child 's discovery museum of san jose,,,
cifsa,,,
cifsa guarantor,,,
cifsa subsidiary guarantor,,,
"cisco system , inc .",Q173395,思科系统,97.0
citi foundation,,,
citibank,,,
"citibank , n.a .",,,
citibank n.a .,,,
citicorp llc,,,
citigroup,Q219508,Citigroup,100.0
citigroup global market holding inc .,,,
citigroup global market inc .,,,
citigroup global market limit,,,
citigroup inc .,Q219508,Citigroup,100.0
city of alachua,,,
city of gainesville,,,
city of leesburg,Q625833,Leesburg,100.0
cl,,,
climate risk steer council,,,
cmdc,,,
co advisor,,,
co agency,,,
cobna,,,
coca-cola beverage africa proprietary limit,,,
coca-cola north america,,,
coep,,,
cof,,,
cof bank na,,,
cof business unit a,,,
cof energy partner,,,
cof north america,,,
cof_na,,,
cogc,,,
col,,,
columbia university school of international and public affair,,,
combine guarantor,,,
combine obligor group,,,
combine subsidiary,,,
comcast ag holding,,,
comcast cable communication,,,
"comcast cable communication , llc",,,
comcast corporation,Q1113804,Comcast,100.0
comcast mo group,,,
comcast mo of delaware,,,
commercial bank product approval committee,,,
commercial payer,,,
commitment and underwriting committee,,,
common stock of other registrant,,,
community state saving bank,,,
company a,,,
company x,Q88966279,Company X,100.0
compensation & management development committee,,,
"compensation , management development and succession committee",,,
compensation and human capital committee,,,
compensation and management development committee,,,
compensation committee,,,
compliance & ethic and law department,,,
compliance and conduct risk committee,,,
compliance department,,,
compliance risk committee,,,
compliance team,,,
"computershare trust company , national association",,,
cona,,,
conegencia,,,
confidence tower holding ltd .,,,
conflict office,,,
conocophillips,Q214763,ConocoPhillips,100.0
conocophillips australia fund company,,,
conocophillips canada,,,
conocophillips canada fund company i,,,
conocophillips company,Q214763,ConocoPhillips,100.0
conocophillips trust i,,,
conocophillips trust ii,,,
consolidated vie,,,
control affiliate,,,
control financial interest entity,,,
control majority-owned subsidiary,,,
control management organization,,,
control subsidiary,,,
"cook inlet/vs gsm iv pc holding , llc",,,
cookinlet ivpcs holding,,,
cooperative,,,
cop,,,
cop equity affiliate,,,
corporate asset-liability management and pricing committee,,,
corporate audit department,,,
corporate governance & nominating committee,,,
"corporate governance , esg , and sustainability committee",,,
corporate governance committee,,,
corporate information security organization,,,
corporate it security team,,,
corporate relation,,,
corporate responsibility and compliance committee,,,
corporate valuation group,,,
cost,Q715583,Costco,100.0
costco wholesale corporation,Q715583,Costco,100.0
covidien group holding ltd .,,,
covidien international finance s.a .,,,
covidien ltd .,,,
covidien shareholder group,,,
cpos,,,
crc,,,
credit and market risk oversight committee,,,
credit policy committee,,,
crm,,,
cross-functional leadership team,,,
csb,,,
csc,,,
csco,Q173395,思科系统,100.0
cspb,,,
ctco,,,
ctoc,,,
"culture , value and conduct committee",,,
cv,,,
cv health corporation,,,
cv health foundation,,,
cvx,Q319642,Chevron Corporation,100.0
cvx affiliate a,,,
cybersecurity leadership council,,,
cybersecurity team,,,
cybersource,,,
danaher,Q1159256,Danaher Corporation,100.0
danaher diversity + inclusion council,,,
danaher international holding,,,
danaher international holding ii,,,
danaher intl .,,,
danaher intl . ii,,,
"danaher japan co. , ltd .",,,
danaher jpn .,,,
danaher switz .,,,
danaher switzerland ag,,,
data sub-committee,,,
de,,,
deb,,,
dec,,,
decam,,,
decentralize fiduciary committee,,,
decncsf,,,
def proco,,,
defpf,,,
defr,,,
degs,,,
deigp,,,
delaware county ida,,,
dell med school,,,
deloitte & touche llp,Q75746293,Deloitte & Touche LLP,100.0
depncsf,,,
derf,,,
desert stateline,,,
"desert sunlight investment holding , llc",,,
deutsche bank trust company america,,,
dfw airport corp,,,
dhr,,,
dimon trust,,,
dis,Q7414,The Walt Disney Company,100.0
disclosure committee,,,
disney,Q7414,The Walt Disney Company,100.0
disney legacy,,,
distribution product approval committee,,,
"diversity , inclusion , and belong council",,,
diversity council,,,
division and key market risk committee,,,
dt,Q9396,Deutsche Telekom,100.0
dtcc,,,
duk spe 1,,,
duke energy,Q1264404,Duke Energy,100.0
duke energy ( parent ),,,
duke energy carolina,,,
"duke energy carolina , llc",,,
"duke energy commercial enterprise , inc .",,,
duke energy florida,,,
"duke energy florida , inc .",,,
"duke energy florida , llc",,,
duke energy foundation,,,
duke energy indiana,,,
"duke energy indiana , inc .",,,
"duke energy indiana , llc",,,
"duke energy indiana holdco , llc",,,
duke energy kentucky,,,
"duke energy kentucky , inc .",,,
duke energy ohio,,,
"duke energy ohio , inc .",,,
duke energy parent,,,
duke energy progress,,,
"duke energy progress , inc .",,,
"duke energy progress , llc",,,
duke energy retail,,,
"duke energy sam , llc",,,
duke energy vermillion,,,
duke florida,,,
duke progress,,,
dukeenergycarolinas,,,
"dukeenergycarolinas , llc",,,
dukeenergyflorida,,,
"dukeenergyflorida , inc .",,,
"dukeenergyflorida , llc",,,
dukeenergyindiana,,,
"dukeenergyindiana , inc .",,,
"dukeenergyindiana , llc",,,
dukeenergyohio,,,
"dukeenergyohio , inc .",,,
"dukeenergyprogress , inc .",,,
"dukeenergyprogress , llc",,,
dukenet,,,
e * trade bank,,,
e * trade saving bank,,,
e * trade sec .,,,
e * trade security llc,,,
educational entity,,,
efh,,,
eip bre,,,
eligible subsidiary,,,
elizabethtown gas,,,
elon musk revocable trust,,,
employee council,,,
employee network,,,
employee representation,,,
energy assistance agency,,,
enterprise model risk committee,,,
enterprise risk committee,,,
enterprise risk management ( erm ) committee,,,
enterprise risk management committee,,,
enterprise technology bank,,,
enterprise technology service bank,,,
entity with majority voting interest,,,
environmental risk committee,,,
equity method affiliate,,,
equity method entity,,,
erc,,,
ercot,Q5357475,Electric Reliability Council of Texas,100.0
ernst & young llp,Q98525448,Ernst & Young LLP,100.0
esg governance committee,,,
esg leadership committee,,,
etb,,,
eteris n.v .,,,
etsb,,,
european affiliate,,,
european investee,,,
european worker council,,,
exposure management committee,,,
exxonmobil corporation,Q156238,ExxonMobil,100.0
fair value committee,,,
faw-gm commercial,,,
fdx,Q782557,FedEx Express,100.0
fhc governance committee,,,
fiduciary and conflict of interest risk sub-committee,,,
fifa,,,
finance,,,
finance and operation,,,
finance department,,,
finance division,,,
finance holdco,,,
financial risk council,,,
finco,,,
firm credit risk committee,,,
firm franchise committee,,,
firm risk committee,,,
firmwide capital committee,,,
firmwide client and business standard committee,,,
firmwide conduct committee,,,
firmwide control committee,,,
firmwide investment policy committee,,,
firmwide reputational risk committee,,,
firmwide risk committee,,,
firmwide suitability committee,,,
firmwide valuation governance forum,,,
first responder organization,,,
first union national bank,,,
firstnet,,,
florida city gas,,,
florida power & light company,,,
florida reliability coordinate council,,,
florida se connection,,,
florida southeast connection,,,
"floridapower corporation , d/b/a duke energy florida , inc .",,,
foreign entity,,,
foreign subsidiary,,,
forest laboratory holding limit,,,
foundation for a smoke-free world,,,
fp l,,,
fpl,,,
"fpl group , inc .",,,
fpl group capital inc,,,
fraud sub-committee,,,
frc,,,
front line unit,,,
fulcrum strategic institute,,,
funding ihc,,,
g & amp ; co .,,,
g & co .,,,
g be intl,,,
g co,,,
g co .,,,
g nonbank affiliate,,,
g nonbank subsidiary,,,
garland,Q49274,Garland,100.0
gb organization,,,
gd,,,
ge,,,
ge aerospace,,,
ge capital international holding limit,,,
ge capital intl funding co,,,
ge energy financial service,,,
ge guarantor subsidiary,,,
ge non-guarantor subsidiary,,,
gecapital,,,
gecc,,,
general counsel,,,
general dynamic corporation,,,
general electric company,Q54173,General Electric,100.0
general motor llc,,,
georgia power,Q5547666,Georgia Power,100.0
georgia power company,Q5547666,Georgia Power,100.0
german subsidiary,,,
gild,,,
gild foundation,,,
gild joint venture,,,
gilead foundation,,,
gilead ireland uc,,,
gilead science k.k .,,,
global affiliate,,,
global compliance committee,,,
global corporate affair,,,
global diversity and inclusion council,,,
global esg committee,,,
global internal audit,,,
global legal entity oversight and governance committee,,,
global risk committee,,,
gm,Q81965,General Motors,100.0
gm china,,,
gm china joint venture,,,
gm financial,,,
gmfinancial,,,
gmio,,,
gmsa,,,
goldman sachs & amp ; co. llc,,,
goldman sachs & co .,Q193326,Goldman Sachs,100.0
goldman sachs & co. llc,,,
goldman sachs apex trust,,,
"goldman sachs asset management , l.p .",,,
goldman sachs asset management b.v .,,,
goldman sachs bank europe se,,,
goldman sachs bank usa,,,
goldman sachs capital ii,,,
goldman sachs capital iii,,,
"goldman sachs financial market , l.p .",,,
goldman sachs international,Q193326,Goldman Sachs,100.0
goldman sachs international ( gsi ),,,
goldman sachs international bank,Q193326,Goldman Sachs,92.0
"goldman sachs japan co. , ltd .",,,
goldman sachs japan co. ltd .,,,
goldman sachs paris inc. et cie,,,
goldman sachs trust,,,
googl,Q95,Google,100.0
googl board of director,,,
google,Q95,Google,100.0
google inc .,Q95,Google,100.0
governance and nominating committee,,,
government employee group,,,
greene trust,,,
gs asset mgmt,,,
gs bank subsidiary,,,
gs bank usa,,,
gsami,,,
gsbe,,,
gsg uk,,,
gsi,,,
gsib,,,
gsjcl,,,
gtoc,,,
gtp acquisition partner,,,
gtp entity,,,
gtpacquisition partner,,,
guarantor subsidiary,,,
gulf power company,Q5617509,Gulf Power Company,100.0
hbcus,,,
hd,,,
healthcare businesswoman 's association,,,
healthcare provider,,,
helix,,,
helix international,,,
hennessy trust,,,
henrietta,Q973936,Henrietta,100.0
holdco,,,
hon,,,
hope,Q80008,Hope,100.0
human capital committee,,,
human resource,,,
human resource and compensation committee,,,
human resource department,,,
iamaw,,,
ibm,Q37156,IBM,100.0
ibm credit llc,,,
imft,,,
imft interest,,,
impa,,,
imperial valley,,,
incentive compensation risk oversight committee,,,
independent board of director,,,
independent control and support function,,,
independent electricity system operator ( ieso ),,,
independent external party,,,
independent risk management,,,
independent risk management function,,,
indiana municipal power agency,,,
information risk management,,,
information security sub-committee,,,
information technology,,,
inotera,,,
inovant,,,
inovant llc,,,
institution,,,
intc,Q248,Intel,100.0
intermediate holdco,,,
internal audit department,,,
internal audit dept,,,
internal audit function,,,
international association of machinist,,,
international compliance risk sub-committee,,,
international olympic committee,,,
international paralympic committee,,,
intuitive foundation,,,
investment and administrative committee,,,
investment committee,,,
irm,,,
irsub,,,
isrg,Q22905866,Internet Security Research Group,100.0
isrg joint venture,,,
j. aron & amp ; company llc,,,
j.p. morgan se,,,
j.p. morgan sec,,,
j.p. morgan sec plc,,,
j.p. morgan security,,,
j.p. morgan security llc,,,
j.p. morgan security plc,,,
janket venture,,,
jnj,Q333718,Johnson & Johnson,100.0
joint venture,,,
jpm,Q192314,JPMorgan Chase,100.0
jpm security plc,,,
jpm trust,,,
jpmorgan chase bank,Q192314,JPMorgan Chase,100.0
"jpmorgan chase bank , n.a .",,,
"jpmorgan chase bank , national association",,,
jpmorgan chase foundation,,,
jpmorgan chase holding llc,,,
jpmse,,,
juul board,,,
jv with pai partner,,,
kellogg school of management,,,
kenvue,Q118905792,Kenvue,100.0
kern river,,,
kern river gas transmission company,,,
"kissei pharmaceutical co. , ltd .",,,
kissimmee utility authority,,,
ko,,,
labor group,,,
labor union,,,
laudus trust,,,
lease site spes,,,
legacy disney,,,
legal,,,
legal and compliance division,,,
legal department,,,
legal entity,,,
legal entity risk committee,,,
limited liability company,,,
lin,,,
linde ag,Q682759,Linde Group,100.0
linde finance,,,
linde intermediate hold ag,,,
linde plc,Q682759,Linde Group,100.0
line of business and corporate function control committee,,,
line of business and regional risk committee,,,
litigation and corporate & regulatory practice,,,
lly,Q632240,Eli Lilly and Company,100.0
lmimco,,,
lmt,Q7240,Lockheed Martin,100.0
lose hill blackwell,,,
low,,,
lrcx,Q1342041,Lam Research,100.0
m,,,
m & co,Q136785661,M&Co,100.0
m & co .,Q136785661,M&Co,100.0
m co .,Q136785661,M&Co,100.0
m pbna,,,
m personal bank of north america,,,
m private bank of north america,,,
ma,,,
majority-owned and controlled entity,,,
majority-owned entity,,,
majority-owned subsidiary,,,
management risk committee,,,
mara trust,,,
market risk committee,,,
market risk team,,,
massachusetts institute of technology,Q49108,Massachusetts Institute of Technology,100.0
mastercard foundation,,,
mastercard impact fund,,,
mastercard incorporate,Q489921,Mastercard,98.0
mastercard international,Q489921,Mastercard,100.0
mastercard intl .,,,
mcd,Q38076,McDonald's,100.0
mdt,,,
mdt foundation,,,
mdt subsidiary,,,
me & t,,,
medical school,,,
"medtronic , inc .",Q642189,Medtronic plc,100.0
medtronic foundation,,,
medtronic global holding s.c.a .,,,
medtronic lab,,,
medtronic plc,Q642189,Medtronic plc,100.0
memory solution partner,,,
"merck & co. , inc .",Q247489,Merck & Co.,100.0
merck foundation,,,
merck sharp & dohme corp .,Q247489,Merck & Co.,100.0
mergersub,,,
miami university of ohio,,,
michelle-antinori,,,
"michelle-antinori , llc",,,
"micron technology , inc .",Q1197548,Micron Technology,100.0
microsoft bank na,,,
microsoft bank of north america,,,
microsoft corporation,Q2283,Microsoft,100.0
microsoft personal bank na,,,
microsoft personal bank of north america,,,
microsoft research,,,
middlebury college,,,
middleton,Q1570640,Middleton,100.0
mih n,,,
mihn,,,
mississippi power,Q17108791,Mississippi Power,100.0
mississippi power company,Q17108791,Mississippi Power,100.0
mmj,,,
mmm,Q86521,MMM,100.0
mo,,,
model governance sub-committee,,,
model risk governance and review ( mrgr ),,,
model risk office,,,
model validation group,,,
monster board,,,
mrc,Q2856187,MRC,100.0
mrk,Q247489,Merck & Co.,100.0
ms bank of north america,,,
msbna,,,
msc,Q869570,Mediterranean Shipping Company,100.0
mscg,,,
msese,,,
msft,Q2283,Microsoft,100.0
msg,,,
msip,,,
msis,,,
msms,,,
msp,Q10277663,MSP Estúdios,100.0
mspbna,,,
mssb,,,
mssb llc,,,
murray street trust,,,
narco trust,,,
nathan trust,,,
national association for the advancement of colored people,,,
national civil right museum,,,
national football league,,,
national geographic society,Q167186,National Geographic Society,100.0
nationsbank corporation,,,
nbcuniversal,Q724759,NBCUniversal,100.0
"nbcuniversal enterprise , inc .",,,
"nbcuniversal medium , llc",,,
nbcuniversal medium llc,,,
nbcuniversal medium parent,,,
nbcuniversal medium parent llc,,,
nc emc,,,
ncemc,,,
ncmpa 1,,,
ncmpa1,,,
nee ch,,,
nee r,,,
nee subsidiary x,,,
nee trust i,,,
neech,,,
neer,,,
neet,,,
neews,,,
nep,,,
nep opco,,,
nepopco,,,
netti fund,,,
nevada power,,,
new business initiative and reputation risk committee,,,
new charter,,,
new disney,,,
new medtronic,,,
new product and service risk oversight committee,,,
new york university stern school of business,,,
nflx,,,
nhl,,,
nke,Q483915,Nike,100.0
nominating and corporate governance committee,,,
non-bank legal entity,,,
non-guarantor company,,,
non-guarantor subsidiary,,,
non-guarantor subsidiary llc,,,
non-profit entity,,,
non-wholly-owned subsidiary,,,
nonconsolidated affiliate,,,
nonconsolidated vies,,,
noncontrolling shareholder,,,
north carolina eastern municipal power agency,,,
north carolina electric membership corporation,,,
north carolina municipal power agency number 1,,,
"northeast energy , lp",,,
northern natural gas company,,,
northern powergrid ( northeast ) limit,,,
northern powergrid ( yorkshire ) plc,,,
now,,,
"nuvia , inc .",,,
nv energy,Q1961658,NV Energy,100.0
nvda,Q182477,Nvidia,100.0
nvidia land dev .,,,
nyu langone medical center,,,
official guarantor name,,,
official name of cobna,,,
official non-guarantor subsidiary name,,,
old blackrock,,,
old blk,,,
omi,,,
"onstar , llc",,,
operating partnership,,,
operational risk council,,,
operational risk oversight committee,,,
optionsxpress,,,
"optionsxpress , inc .",,,
orcl,Q19900,Oracle Corporation,100.0
org,,,
organon,Q903372,Organon & Co.,100.0
orlando utility commission,,,
orpheus medical,,,
otellini trust,,,
other ( a ),,,
other citigroup subsidiary,,,
other investment,,,
other registrant,,,
other sp wind facility,,,
other subsidiary,,,
oversight & control,,,
pacificorp,Q2045479,PacifiCorp,100.0
pan asia tech,,,
parent,Q1098360,Parent,100.0
parent company,,,
parent entity,,,
partnership,,,
partnership and joint venture,,,
pcia,,,
pep,,,
"pepsi-cola metropolitan bottle company , inc .",,,
pepsico,Q334800,PepsiCo,100.0
pepsico foundation inc .,,,
pepsico risk committee ( prc ),,,
pfe,Q206921,Pfizer,100.0
pfizer foundation,,,
pfizer international enterprise,,,
pg,,,
philip morris,Q1852556,Philip Morris International,100.0
philip morris international inc .,Q1852556,Philip Morris International,100.0
piedmont,Q1216,Piedmont,100.0
piedmont municipal power agency,,,
piedmont municipal power association,,,
"piedmont natural gas company , inc .",,,
piedmontnaturalgas,,,
pjm,,,
pltr,Q2047336,Palantir Technologies,100.0
pm,Q34617,Saint Pierre and Miquelon,100.0
pm izhora,,,
pm korea,,,
pm pa,,,
pm thailand,,,
pmcc,,,
pmftc,,,
pmi,Q1852556,Philip Morris International,100.0
pmpa,,,
power marketer,,,
powersecure,,,
powertel memphis,,,
"powertel/memphis , inc .",,,
pricewaterhousecoopers llp,,,
pricewaterhousecoopers sa,,,
primary beneficiary variable interest entity,,,
primary beneficiary vies,,,
princeton university,Q21578,Princeton University,100.0
principal executive office,,,
principal or affiliate customer,,,
private education and civic organization,,,
professional organization,,,
progress energy,Q2112219,Progress Energy,100.0
"progress energy , inc .",Q2112219,Progress Energy,100.0
public investor,,,
public municipal power agency,,,
public policy committee,,,
public responsibility committee,,,
public utility,,,
publicly trade company,,,
qcom,Q544847,Qualcomm,100.0
qcom holding,,,
qti,,,
qualcomm incorporate,Q544847,Qualcomm,98.0
"qualcomm river holding , b.v .",,,
"qualcomm technology , inc .",,,
qualified plan committee,,,
re garland holding llc,,,
re roserock llc,,,
re tranquillity llc,,,
regional risk committee,,,
regulate public utility subsidiary,,,
regulate subsidiary,,,
reorganize efh,,,
reserve advisory committee,,,
restorative therapy group,,,
rf360 holding singapore pte . ltd .,,,
risk and compliance committee,,,
risk committee of the board of director,,,
risk governance committee,,,
risk management office,,,
rmhc,,,
ronald mcdonald house charity,,,
royal academy of engineering,Q1478095,Royal Academy of Engineering,100.0
royal thai army,,,
rtx,Q89368734,RTX,100.0
rumsfeld find,,,
sa borrower,,,
sabal trail,,,
"sabal trail transmission , llc",,,
safety and health council,,,
saic,Q502132,Leidos,100.0
saic financial,,,
saic gm corp .,,,
saic gm dong yue,,,
saic gm powertrain,,,
saic gm sale,,,
saic gm shenyang,,,
saic gm wuling,,,
saic gmac,,,
saic-gmac,,,
saic-gmf leasing,,,
"saic-gmf leasing co. , ltd .",,,
saicfc,,,
saicgmac,,,
sale organization,,,
salesforce foundation,,,
salesforce.com foundation,,,
san diego state university,,,
sc,,,
scg,,,
scg capital,,,
schw,,,
schwab,Q1066028,Charles Schwab Corporation,100.0
schwab annuity portfolio,,,
schwab bank,,,
schwab capital trust,,,
"schwab holding , inc .",,,
schwab investment,,,
schwab strategic trust,,,
sears joint venture,,,
segco,,,
sgm,,,
sgm dy,,,
sgm dypt,,,
sgm norsom,,,
sgms,,,
shanghai auto finance,,,
shanghai chengxin,,,
shanghai disney management co .,,,
shanghai disney management company,,,
shanghai onstar,,,
sierra pacific,Q7511541,Sierra Pacific Airlines,100.0
silver lake partner,,,
similar entity,,,
simon prop grp,,,
"simon prop grp , l.p .",,,
simon prop grp lp,,,
simon property,Q2287759,Simon Property Group,100.0
simon property group,Q2287759,Simon Property Group,100.0
"simon property group , l.p .",Q2287759,Simon Property Group,100.0
simon property group lp,Q2287759,Simon Property Group,98.0
situation and action committee,,,
slma llc,,,
so,,,
so capital,,,
society of professional engineering employee aerospace,,,
society of professional engineering employee in aerospace,,,
softbank,Q201653,SoftBank Group,100.0
south african subsidiary,,,
southern company,Q2304693,Southern Company,100.0
southern company gas capital,,,
southern company gas capital corporation,,,
"southern company holding , inc .",,,
southern company service,,,
southern gas,,,
southern holding inc .,,,
southern linc,,,
"southern natural gas company , l.l.c .",,,
southern nuclear,,,
southern power,Q116866621,Southern Power,100.0
southern power company,Q116866621,Southern Power,100.0
southernlinc,,,
southernlinc wireless,,,
southstar,,,
southwest power pool ( spp ),Q7571339,Southwest Power Pool,91.0
spanish subsidiary,,,
spc,Q7392484,SPC Group,100.0
special purpose entity,,,
special purpose partnership,,,
specific affiliate company,,,
specific affiliate name,,,
specific chinese partner,,,
specific company a,,,
specific electric utility company,,,
specific entity name,,,
specific general partner entity,,,
specific investor entity 1,,,
specific parent company,,,
specific registrant,,,
specific registrant name,,,
"specific subsidiary a , specific subsidiary b",,,
specific subsidiary company,,,
specific subsidiary name,,,
specificcompany inc .,,,
"spectrasite communication , llc",,,
spectrum financing spes,,,
speea ( society of professional engineering employee in aerospace ),,,
spes,Q34990997,Éditions SPES,100.0
spg,,,
spg op,,,
spg operate partnership,,,
sponsor of health benefit plan,,,
"sprint communication , inc .",,,
sprint intermediate holdco ii llc,,,
sprint intermediate holdco iii llc,,,
sprint intermediate holdco llc,,,
sprint spectrum license holder ii llc,,,
sprint spectrum license holder iii llc,,,
sprint spectrum license holder llc,,,
sprint spectrum pledgeco ii llc,,,
sprint spectrum pledgeco iii llc,,,
sprint spectrum pledgeco llc,,,
sre,,,
srp,,,
stanford university,Q41506,Stanford University,100.0
starbucks board,,,
ste . michelle,,,
strategic transaction committee,,,
subsidiary company,,,
subsidiary guarantor,,,
subsidiary luxco,,,
subsidiary non-guarantors,,,
subsidiary of accenture holding plc,,,
subsidiary of accenture sca,,,
subsidiary of so,,,
subsidiary registrant,,,
suncom wireless op co,,,
"suncom wireless operate company , l.l.c .",,,
suncom wireless prop co,,,
"suncom wireless property company , l.l.c .",,,
"sustainability , diversity and public policy committee",,,
t,,,
t-mobile airtime funding llc,,,
t-mobile central llc,,,
t-mobile northeast llc,,,
t-mobile pc holding llc,,,
t-mobile south llc,,,
"t-mobile u , inc .",,,
t-mobile usa,Q3511885,T-Mobile US,100.0
"t-mobile usa , inc .",Q3511885,T-Mobile US,100.0
t-mobile usa tower llc,,,
t-mobile west llc,,,
t-mobile west tower llc,,,
t3 tower 1 llc,,,
t3 tower 2 llc,,,
tdac,,,
technology division,,,
technology governance committee,,,
temple university,,,
tesla motor netherlands b.v .,Q478214,Tesla,98.0
the bank of new york mellon,Q589288,The Bank of New York Mellon,100.0
the kennedy institute of rheumatology,,,
the walt disney company,Q7414,The Walt Disney Company,100.0
thermo fisher,Q643674,Thermo Fisher Scientific Inc.,100.0
third-party distributor,,,
third-party risk sub-committee,,,
