term,meaning,occurrence_count,chapters,source_files,is_aristotelian,genus,differentia,reason,suggested_genus,suggested_differentia,classification_error
bad debt expense,an expense that a business incurs as a result of uncollectible accounts receivables,1,Receivables Management,osbooks-principles-finance\modules\m00123\index.cnxml,yes,an expense,that a business incurs as a result of uncollectible accounts receivables,,,,
balance sheet,"a financial statement that reflects a firm’s asset, liability, and equity account balances at a given point in time",1,The Importance of Forecasting,osbooks-principles-finance\modules\m00113\index.cnxml,yes,a financial statement,"that reflects a firm’s asset, liability, and equity account balances at a given point in time",,,,
bankruptcies,federal court procedures that protect distressed businesses from creditor collection efforts while allowing the debtor firm to liquidate its assets or devise a reorganization plan,1,Receivables Management,osbooks-principles-finance\modules\m00123\index.cnxml,yes,federal court procedures,that protect distressed businesses from creditor collection efforts while allowing the debtor firm to liquidate its assets or devise a reorganization plan,,,,
bar graph,a chart that presents categorical data in a summarized form based on frequency or relative frequency,1,Data Visualization and Graphical Displays,osbooks-principles-finance\modules\m00083\index.cnxml,yes,a chart,that presents categorical data in a summarized form based on frequency or relative frequency,,,,
benchmarking,"the process of performance analysis that involves comparing financial condition and operating results against a standard, called a benchmark",1,What Is Working Capital?,osbooks-principles-finance\modules\m00120\index.cnxml,yes,the process of performance analysis,"that involves comparing financial condition and operating results against a standard, called a benchmark",,,,
best-fit linear regression model,"an equation of the form y^=a+bx that provides the best-fit straight line to the (x, y) data points",1,Best-Fit Linear Model,osbooks-principles-finance\modules\m00089\index.cnxml,yes,an equation of the form y^=a+bx,"that provides the best-fit straight line to the (x, y) data points",,,,
beta,the measure of the volatility of a stock as compared to a benchmark such as the S&P 500 index | a measure of how a stock moves relative to the market,2,Regression Applications in Finance; The Capital Asset Pricing Model (CAPM),osbooks-principles-finance\modules\m00090\index.cnxml; osbooks-principles-finance\modules\m00095\index.cnxml,yes,the measure of the volatility of a stock,as compared to a benchmark such as the S&P 500 index | a measure of how a stock moves relative to the market,,,,
bill of lading,a document that is a detailed list of a goods that have been shipped; a receipt given by the carrier (shipping company) to the seller as evidence that the goods have been shipped to the buyer,1,What Is Trade Credit?,osbooks-principles-finance\modules\m00121\index.cnxml,yes,a document,that is a detailed list of a goods that have been shipped; a receipt given by the carrier (shipping company) to the seller as evidence that the goods have been shipped to the buyer,,,,
bivariate data,paired data in which each value of one variable is paired with a value of a second variable,1,Data Visualization and Graphical Displays,osbooks-principles-finance\modules\m00083\index.cnxml,yes,paired data,in which each value of one variable is paired with a value of a second variable,,,,
board of directors (BOD),a group of people who jointly supervise the activities of an organization,1,Business Structures,osbooks-principles-finance\modules\m00011\index.cnxml,yes,a group of people,who jointly supervise the activities of an organization,,,,
bond call,a feature of certain bonds or other fixed-income instruments that allows the issuer to repurchase and retire these instruments before maturity,1,Risks of Interest Rates and Default,osbooks-principles-finance\modules\m00064\index.cnxml,yes,a feature of certain bonds or other fixed-income instruments,that allows the issuer to repurchase and retire these instruments before maturity,,,,
bond price,"the present, discounted value of the future cash stream generated by a bond; the sum of the present values of all likely coupon payments and the present value of the par value at maturity",1,Characteristics of Bonds,osbooks-principles-finance\modules\m00061\index.cnxml,yes,"the present, discounted value",of the future cash stream generated by a bond; the sum of the present values of all likely coupon payments and the present value of the par value at maturity,,,,
bond ratings,grades assigned to bonds by rating services that indicate their overall credit quality,1,Risks of Interest Rates and Default,osbooks-principles-finance\modules\m00064\index.cnxml,yes,grades,assigned to bonds by rating services that indicate their overall credit quality,,,,
bond returns,sums the periodic interest payments and the change in bond price in a given period and divides by the bond price at the beginning of the period,1,Historical Picture of Returns to Bonds,osbooks-principles-finance\modules\m00075\index.cnxml,no,,,no genus stated,a measure,that sums the periodic interest payments and the change in bond price in a given period and divides by the bond price at the beginning of the period,
book value per share,total book value (assets – liabilities) of a firm expressed on a per-share basis,1,Market Value Ratios,osbooks-principles-finance\modules\m00044\index.cnxml,yes,total book value (assets – liabilities) of a firm,expressed on a per-share basis,,,,
brokers,individuals or a firm that brings together potential buyers and sellers of a product and receives a commission at transaction,1,Markets and Participants,osbooks-principles-finance\modules\m00006\index.cnxml,yes,individuals or a firm,that brings together potential buyers and sellers of a product and receives a commission at transaction,,,,
Bureau of Labor Statistics,"a group within the United States Department of Labor that is the primary fact-finding agency for the US government in the fields of labor, statistics, and economics; serves as the principal agency of the US Federal Statistical System",1,Applications of TVM in Finance,osbooks-principles-finance\modules\m00050\index.cnxml,yes,a group within the United States Department of Labor,"that is the primary fact-finding agency for the US government in the fields of labor, statistics, and economics; serves as the principal agency of the US Federal Statistical System",,,,
business cycle,a period of economic expansion followed by economic contraction,1,Business Cycles and Economic Activity,osbooks-principles-finance\modules\m00020\index.cnxml,yes,a period,of economic expansion followed by economic contraction,,,,
Business Cycle Dating Committee,"a subdivision of the National Bureau of Economic Research (NBER), the US government agency that maintains a chronology of US business cycles",1,Using the Yield Curve,osbooks-principles-finance\modules\m00063\index.cnxml,yes,a subdivision of the National Bureau of Economic Research (NBER),the US government agency that maintains a chronology of US business cycles,,,,
business finance,the study and application of how managers can apply financial principles to maximize the value of a firm in a risky environment,1,What Is Finance?,osbooks-principles-finance\modules\m00002\index.cnxml,yes,the study and application,of how managers can apply financial principles to maximize the value of a firm in a risky environment,,,,
C corporation,"a legal structure for a corporation in which the owners, or shareholders, are taxed separately from the entity",1,Business Structures,osbooks-principles-finance\modules\m00011\index.cnxml,yes,a legal structure for a corporation,"in which the owners, or shareholders, are taxed separately from the entity",,,,
call option,"an option that gives the owner the right, but not the obligation, to buy the underlying asset at a specified price on some future date",1,Exchange Rates and Risk,osbooks-principles-finance\modules\m00129\index.cnxml,yes,an option,"that gives the owner the right, but not the obligation, to buy the underlying asset at a specified price on some future date",,,,
call risk,the risk that a bond issuer will redeem a callable bond prior to maturity,1,Risks of Interest Rates and Default,osbooks-principles-finance\modules\m00064\index.cnxml,yes,the risk,that a bond issuer will redeem a callable bond prior to maturity,,,,
capital,a company’s sources of financing,1,The Concept of Capital Structure,osbooks-principles-finance\modules\m00106\index.cnxml,yes,sources of financing,a company’s,,,,
capital asset pricing model (CAPM),"the expected return of a security, equal to the risk-free rate plus a premium for the amount of risk taken",1,The Capital Asset Pricing Model (CAPM),osbooks-principles-finance\modules\m00095\index.cnxml,yes,the expected return of a security,equal to the risk-free rate plus a premium for the amount of risk taken,,,,
capital budgeting,the process of determining which long-term or fixed assets to acquire in an effort to maximize shareholder value | the process a business follows to evaluate potential major projects or investments,2,What Is Finance?; Payback Period Method,osbooks-principles-finance\modules\m00002\index.cnxml; osbooks-principles-finance\modules\m00099\index.cnxml,yes,the process,of determining which long-term or fixed assets to acquire in an effort to maximize shareholder value,,,,
capital employed,also known as funds employed; the total amount of capital used for the acquisition of profits by a firm or on a project,1,Multiple Approaches to Stock Valuation,osbooks-principles-finance\modules\m00067\index.cnxml,yes,the total amount of capital,used for the acquisition of profits by a firm or on a project,,,,
capital gain yield,the difference between the price a stock is sold for and the price that was originally paid for it divided by the price originally paid,1,Risk and Return to an Individual Asset,osbooks-principles-finance\modules\m00093\index.cnxml,no,,,no genus stated,a measure of return,calculated as the difference between the price a stock is sold for and the price that was originally paid for it divided by the price originally paid,
capital gains,the increase in a capital asset’s value that is realized when the asset is sold,1,Risks of Interest Rates and Default,osbooks-principles-finance\modules\m00064\index.cnxml,yes,the increase in a capital asset’s value,that is realized when the asset is sold,,,,
capital investment,a major expenditure that requires a large up-front investment and is expected to generate substantial cash inflow in return,1,Timing of Cash Flows,osbooks-principles-finance\modules\m00058\index.cnxml,yes,a major expenditure,that requires a large up-front investment and is expected to generate substantial cash inflow in return,,,,
capital market,"market for longer-term financial instruments, such as stocks and bonds, used to finance long-term projects for organizations",1,Financial Instruments,osbooks-principles-finance\modules\m00008\index.cnxml,yes,market for longer-term financial instruments,"such as stocks and bonds, used to finance long-term projects for organizations",,,,
capital structure,"the mix of financing, usually debt and equity, used by a firm | the percentages of a company’s assets that are financed by debt capital, preferred stock capital, and common stock capital",2,What Is Finance?; The Concept of Capital Structure,osbooks-principles-finance\modules\m00002\index.cnxml; osbooks-principles-finance\modules\m00106\index.cnxml,yes,the mix of financing,"usually debt and equity, used by a firm | the percentages of a company’s assets that are financed by debt capital, preferred stock capital, and common stock capital",,,,
capitalize,the process in which a long-term asset is recorded on the balance sheet and its allocated costs are expensed on the income statement over the asset’s economic life,1,When Should a Company Capitalize or Expense an Item?,osbooks-principles-finance\modules\m00028\index.cnxml,yes,the process,in which a long-term asset is recorded on the balance sheet and its allocated costs are expensed on the income statement over the asset’s economic life,,,,
carrying costs,"all costs associated with having inventory in stock including storage costs, insurance, inventory obsolescence, and spoilage",1,Inventory Management,osbooks-principles-finance\modules\m00124\index.cnxml,yes,all costs associated with having inventory in stock,"including storage costs, insurance, inventory obsolescence, and spoilage",,,,
cash basis,method of accounting in which transactions are not recorded in the financial statements until there is an exchange of cash,1,The Statement of Cash Flows,osbooks-principles-finance\modules\m00035\index.cnxml,yes,method of accounting,in which transactions are not recorded in the financial statements until there is an exchange of cash,,,,
cash budget,"a report that shows an estimation of cash inflows, outflows, and cash balances over a specific period of time, such as monthly, quarterly, or annually",1,Cash Management,osbooks-principles-finance\modules\m00122\index.cnxml,yes,a report,"that shows an estimation of cash inflows, outflows, and cash balances over a specific period of time, such as monthly, quarterly, or annually",,,,
cash cycle or cash conversion cycle,"the time period (measured in days) between when a business begins production and acquires resources from its suppliers (for example, acquisition of materials and other forms of inventory) and when it receives cash from its customers; offset by the time it takes to pay suppliers (called the payables deferral period)",1,What Is Working Capital?,osbooks-principles-finance\modules\m00120\index.cnxml,yes,the time period,"(measured in days) between when a business begins production and acquires resources from its suppliers (for example, acquisition of materials and other forms of inventory) and when it receives cash from its customers; offset by the time it takes to pay suppliers (called the payables deferral period)",,,,
cash deficit,an excess of cash outflows over cash inflows for a given period,1,Forecasting Cash Flow and Assessing the Value of Growth,osbooks-principles-finance\modules\m00117\index.cnxml,yes,an excess,of cash outflows over cash inflows for a given period,,,,
cash discount,discount granted to a customer who has purchased goods or services on account (credit) and pays the invoice within a certain number of days as specified by credit terms,1,What Is Trade Credit?,osbooks-principles-finance\modules\m00121\index.cnxml,yes,discount,granted to a customer who has purchased goods or services on account (credit) and pays the invoice within a certain number of days as specified by credit terms,,,,
cash flow,"the amount of cash actually flowing into and out of a business, as opposed to income (which is based on accounting rules, accruals, and reports)",1,Timing of Cash Flows,osbooks-principles-finance\modules\m00058\index.cnxml,no,,,no clear genus stated,amount of cash,"actually flowing into and out of a business, as opposed to income (which is based on accounting rules, accruals, and reports)",
cash forecast,a financial statement that estimates a firm’s future cash inflows and outflows,1,Forecasting Cash Flow and Assessing the Value of Growth,osbooks-principles-finance\modules\m00117\index.cnxml,yes,a financial statement,that estimates a firm’s future cash inflows and outflows,,,,
cash rate,"the interest rate that a central bank, such as the Reserve Bank of Australia or the US Federal Reserve System, will charge commercial banks for loans; also known as the bank rate or the base interest rate",1,Using the Yield Curve,osbooks-principles-finance\modules\m00063\index.cnxml,yes,the interest rate,"that a central bank, such as the Reserve Bank of Australia or the US Federal Reserve System, will charge commercial banks for loans",,,,
cash ratio,represents the firm’s cash and cash equivalents divided by current liabilities; often used by investors and lender to assess an organization’s liquidity,1,Liquidity Ratios,osbooks-principles-finance\modules\m00042\index.cnxml,yes,a ratio,that represents the firm’s cash and cash equivalents divided by current liabilities; often used by investors and lender to assess an organization’s liquidity,,,,
cash surplus,an excess of cash inflows over cash outflows for a given period,1,Forecasting Cash Flow and Assessing the Value of Growth,osbooks-principles-finance\modules\m00117\index.cnxml,yes,an excess,of cash inflows over cash outflows for a given period,,,,
cash-basis accounting,a method of accounting in which transactions are not recorded in the financial statements until there is an exchange of cash,1,Cash versus Accrual Accounting,osbooks-principles-finance\modules\m00025\index.cnxml,yes,a method of accounting,in which transactions are not recorded in the financial statements until there is an exchange of cash,,,,
ceteris paribus,holding all other things constant,1,Microeconomics,osbooks-principles-finance\modules\m00018\index.cnxml,no,,,not a category,an assumption,that all other things are held constant,
chief financial officer (CFO),"an executive-level officer who sets policy for working capital management, determines optimal capital structure for the firm, and makes the final decision in matters of capital budgeting",1,The Role of Finance in an Organization,osbooks-principles-finance\modules\m00003\index.cnxml,yes,an executive-level officer,"who sets policy for working capital management, determines optimal capital structure for the firm, and makes the final decision in matters of capital budgeting",,,,
close (closely held) corporation,a company that has only a limited number of shareholders,1,Business Structures,osbooks-principles-finance\modules\m00011\index.cnxml,yes,a company,that has only a limited number of shareholders,,,,
commercial paper (CP),"short-term, unsecured financial obligations issued by firms as a means of short-term financing for items such as inventory or payables | a short-term, unsecured security issued by corporations and financial institutions to meet short-term financing needs such as inventory and receivables",2,Financial Instruments; Overview of US Financial Markets,osbooks-principles-finance\modules\m00008\index.cnxml; osbooks-principles-finance\modules\m00073\index.cnxml,yes,financial obligations,"short-term, unsecured, issued by firms as a means of short-term financing for items such as inventory or payables",,,,
common stock,a security that represents partial ownership of a corporation,1,Multiple Approaches to Stock Valuation,osbooks-principles-finance\modules\m00067\index.cnxml,yes,a security,that represents partial ownership of a corporation,,,,
common-size,describes a financial statement in which each element is expressed as a percentage of a base amount,1,The Importance of Forecasting,osbooks-principles-finance\modules\m00113\index.cnxml,yes,a financial statement,in which each element is expressed as a percentage of a base amount,,,,
comparable company analysis (comps),a method for valuating a company using the metrics of other businesses of similar size in the same industry,1,Multiple Approaches to Stock Valuation,osbooks-principles-finance\modules\m00067\index.cnxml,yes,a method for valuating a company,using the metrics of other businesses of similar size in the same industry,,,,
compensating balance,minimum balance of cash that a business must deposit and maintain in a bank account to obtain a loan,1,Cash Management,osbooks-principles-finance\modules\m00122\index.cnxml,yes,minimum balance of cash,that a business must deposit and maintain in a bank account to obtain a loan,,,,
compounding interest,"the continual addition of interest to the original principal sum of a loan or deposit, often referred to as interest on interest",1,Applications of TVM in Finance,osbooks-principles-finance\modules\m00050\index.cnxml,yes,the continual addition of interest,to the original principal sum of a loan or deposit,,,,
compounding period,the period between points in time when interest is paid or added to the principal,1,Applications of TVM in Finance,osbooks-principles-finance\modules\m00050\index.cnxml,yes,the period,between points in time when interest is paid or added to the principal,,,,
comptroller,"also referred to as controller, individual in charge of financial reporting and the oversight of the accounting activities necessary to develop financial reports",1,The Role of Finance in an Organization,osbooks-principles-finance\modules\m00003\index.cnxml,yes,individual,in charge of financial reporting and the oversight of the accounting activities necessary to develop financial reports,,,,
conference call,"a meeting or presentation conducted via telephone or internet to relay company information to all interested parties, including institutional and individual investors, as well as buy-and-sell side analysts; also known as an earnings conference call",1,"Interacting with Investors, Intermediaries, and Other Market Participants",osbooks-principles-finance\modules\m00015\index.cnxml,yes,a meeting or presentation,"conducted via telephone or internet to relay company information to all interested parties, including institutional and individual investors, as well as buy-and-sell side analysts",,,,
constant perpetuity,a stream of periodic payments that is expected to continue indefinitely with no change in the amount paid or received,1,Perpetuities,osbooks-principles-finance\modules\m00052\index.cnxml,yes,a stream of periodic payments,that is expected to continue indefinitely with no change in the amount paid or received,,,,
consumer price index (CPI),"a measure of inflation based on the cost of a market basket of goods that a typical urban family of four might purchase | a measure that examines the weighted average of prices of a basket of consumer goods and services such as transportation, food, and medical care",2,Macroeconomics; Applications of TVM in Finance,osbooks-principles-finance\modules\m00019\index.cnxml; osbooks-principles-finance\modules\m00050\index.cnxml,yes,a measure of inflation,based on the cost of a market basket of goods that a typical urban family of four might purchase,,,,
contra-asset,"an account with a balance that is used to offset (reduce) its related asset on the balance sheet (for example, allowance for doubtful accounts reduces the value of accounts receivable reported on the balance sheet)",1,Receivables Management,osbooks-principles-finance\modules\m00123\index.cnxml,yes,an account,with a balance that is used to offset (reduce) its related asset on the balance sheet,,,,
conversion price,the face value of a convertible bond divided by its conversion ratio,1,Alternative Sources of Funds,osbooks-principles-finance\modules\m00111\index.cnxml,yes,the face value of a convertible bond,divided by its conversion ratio,,,,
conversion ratio,the number of shares of common stock receivable for each convertible bond that is converted,1,Alternative Sources of Funds,osbooks-principles-finance\modules\m00111\index.cnxml,yes,the number of shares of common stock,receivable for each convertible bond that is converted,,,,
convertible bonds,fixed-income corporate debt securities that yield interest payments but can be converted into a predetermined number of common stock or equity shares | bonds that can be converted into a fixed number of shares of common stock upon maturity,2,Characteristics of Bonds; Alternative Sources of Funds,osbooks-principles-finance\modules\m00061\index.cnxml; osbooks-principles-finance\modules\m00111\index.cnxml,yes,fixed-income corporate debt securities,that yield interest payments but can be converted into a predetermined number of common stock or equity shares,,,,
core inflation index,a measure of inflation that removes food and energy prices from the CPI,1,Macroeconomics,osbooks-principles-finance\modules\m00019\index.cnxml,yes,a measure of inflation,that removes food and energy prices from the CPI,,,,
corporate governance,"the system of rules, practices, and processes by which a firm is directed and controlled",1,Role of the Board of Directors,osbooks-principles-finance\modules\m00013\index.cnxml,yes,system,"of rules, practices, and processes by which a firm is directed and controlled",,,,
corporation,a legal entity that is separate and distinct from its owners,1,Business Structures,osbooks-principles-finance\modules\m00011\index.cnxml,yes,a legal entity,that is separate and distinct from its owners,,,,
correlation,the measure of association between two numeric variables,1,Correlation Analysis,osbooks-principles-finance\modules\m00086\index.cnxml,yes,the measure,of association between two numeric variables,,,,
correlation coefficient,a measure of the strength and direction of the linear relationship between two variables,1,Correlation Analysis,osbooks-principles-finance\modules\m00086\index.cnxml,yes,a measure,of the strength and direction of the linear relationship between two variables,,,,
coupon payment,the periodic dollar value of interest that is paid to a bondholder by the bond issuer,1,Characteristics of Bonds,osbooks-principles-finance\modules\m00061\index.cnxml,yes,the periodic dollar value of interest,that is paid to a bondholder by the bond issuer,,,,
coupon rate,the amount of annual interest paid by the bond issuer; is multiplied by the face value of a bond to determine annual interest or coupon payment amounts,1,Characteristics of Bonds,osbooks-principles-finance\modules\m00061\index.cnxml,no,,,no genus stated,a rate,"that determines the amount of annual interest paid by the bond issuer, multiplied by the face value of a bond to determine annual interest or coupon payment amounts",
credit,a record of financial information on the right side of an account,1,Economic Basis for Accrual Accounting,osbooks-principles-finance\modules\m00026\index.cnxml,yes,a record of financial information,on the right side of an account,,,,
credit period,the number of days that a business purchaser has before they must pay their invoice,1,What Is Trade Credit?,osbooks-principles-finance\modules\m00121\index.cnxml,yes,the number of days,that a business purchaser has before they must pay their invoice,,,,
credit rating,a type of score that indicates a business’s creditworthiness,1,What Is Working Capital?,osbooks-principles-finance\modules\m00120\index.cnxml,yes,a type of score,that indicates a business’s creditworthiness,,,,
credit risk,the risk taken by a bond investor that the bond issuer will default by failing to pay interest and repay the principal on schedule,1,Risks of Interest Rates and Default,osbooks-principles-finance\modules\m00064\index.cnxml,yes,the risk taken by a bond investor,that the bond issuer will default by failing to pay interest and repay the principal on schedule,,,,
credit terms,"the terms that are part of a sales credit agreement that indicate when payment is due, possible discounts, and any fees that will be charged for a late payment",1,Receivables Management,osbooks-principles-finance\modules\m00123\index.cnxml,yes,the terms that are part of a sales credit agreement,"that indicate when payment is due, possible discounts, and any fees that will be charged for a late payment",,,,
current assets,"asset typically used up, sold, or converted to cash in one year or less | assets that are cash or cash equivalents or are expected to be converted to cash in a short period of time and will be consumed, used, or expire through business operations within one year or the business’s operating cycle, whichever is shorter",2,The Balance Sheet; What Is Working Capital?,osbooks-principles-finance\modules\m00032\index.cnxml; osbooks-principles-finance\modules\m00120\index.cnxml,yes,asset,"typically used up, sold, or converted to cash in one year or less | assets that are cash or cash equivalents or are expected to be converted to cash in a short period of time and will be consumed, used, or expire through business operations within one year or the business’s operating cycle, whichever is shorter",,,,
current liabilities,"debt or obligation due within one year or, in rare cases, a company’s standard operating cycle, whichever is greater",1,The Balance Sheet,osbooks-principles-finance\modules\m00032\index.cnxml,yes,debt or obligation,"due within one year or, in rare cases, a company’s standard operating cycle, whichever is greater",,,,
current ratio,current assets divided by current liabilities; used to determine a company’s liquidity (ability to meet short-term obligations),1,Liquidity Ratios,osbooks-principles-finance\modules\m00042\index.cnxml,no,,,not a category,financial ratio,that is calculated by dividing current assets by current liabilities and used to determine a company’s liquidity,
data visualization,"the use of graphical displays, such as bar charts, histograms, and scatter plots, to help interpret patterns and trends in a data set",1,Data Visualization and Graphical Displays,osbooks-principles-finance\modules\m00083\index.cnxml,no,,,gives an example instead of a genus,a technique,that uses graphical displays to help interpret patterns and trends in a data set,
days’ sales in inventory,the number of days it takes a company to turn inventory into sales,1,Operating Efficiency Ratios,osbooks-principles-finance\modules\m00041\index.cnxml,no,,,no genus stated,a metric,that measures the number of days it takes a company to turn inventory into sales,
dealers,facilitate a market and the trading of securities by holding a portfolio of the underlying asset for easy purchase and sale; earn money on the spread between ask and bid prices for the asset,1,Markets and Participants,osbooks-principles-finance\modules\m00006\index.cnxml,yes,facilitate a market and the trading of securities,by holding a portfolio of the underlying asset for easy purchase and sale; earn money on the spread between ask and bid prices for the asset,,,,
debenture,a common type of unsecured bond issued by a corporation,1,Overview of US Financial Markets,osbooks-principles-finance\modules\m00073\index.cnxml,yes,a common type of unsecured bond,issued by a corporation,,,,
debit,a record of financial information on the left side of each account,1,Economic Basis for Accrual Accounting,osbooks-principles-finance\modules\m00026\index.cnxml,yes,a record of financial information,on the left side of each account,,,,
debt-to-assets ratio,measures the portion of debt used by a company relative to the amount of assets,1,Solvency Ratios,osbooks-principles-finance\modules\m00043\index.cnxml,yes,a ratio,that measures the portion of debt used by a company relative to the amount of assets,,,,
debt-to-equity ratio,measures the portion of debt used by a company relative to the amount of stockholders’ equity,1,Solvency Ratios,osbooks-principles-finance\modules\m00043\index.cnxml,yes,a measure,of the portion of debt used by a company relative to the amount of stockholders’ equity,,,,
deep discount bonds,bonds that sell at significantly lower values than their par values,1,Characteristics of Bonds,osbooks-principles-finance\modules\m00061\index.cnxml,yes,bonds,that sell at significantly lower values than their par values,,,,
default,when an issuer fails to make scheduled interest or principal payments on its bonds,1,Characteristics of Bonds,osbooks-principles-finance\modules\m00061\index.cnxml,yes,when an issuer fails to make scheduled interest or principal payments,on its bonds,,,,
default risk,the risk that the issuer of a financial security will be unable to make payments as specified in the terms of a financial contract | the risk taken by investors that payments will be delayed or will not occur,2,What Is Finance?; Risks of Interest Rates and Default,osbooks-principles-finance\modules\m00002\index.cnxml; osbooks-principles-finance\modules\m00064\index.cnxml,yes,the risk,that the issuer of a financial security will be unable to make payments as specified in the terms of a financial contract,,,,
demand,"the quantity of a good or service that consumers are willing and able to purchase during a given time period, ceteris paribus",1,Microeconomics,osbooks-principles-finance\modules\m00018\index.cnxml,yes,the quantity of a good or service,"that consumers are willing and able to purchase during a given time period, ceteris paribus",,,,
