genus_1,genus_2,genus_1_normalized,genus_2_normalized,edit_similarity,jaccard_similarity,llm_relationship
a bell-shaped distribution curve,"a large, independent agency of the United States federal government",bell shaped distribution curve,large independent agency of the united states federal government,0.1875,0.0,DIFFERENT
a bell-shaped distribution curve,a legal entity,bell shaped distribution curve,legal entity,0.2,0.0,DIFFERENT
a bell-shaped distribution curve,a legal structure for a corporation,bell shaped distribution curve,legal structure for a corporation,0.1515,0.0,DIFFERENT
a bell-shaped distribution curve,a letter issued by a bank,bell shaped distribution curve,letter issued by a bank,0.2,0.0,DIFFERENT
a bell-shaped distribution curve,a limited liability company (LLC) or limited liability partnership (LLP),bell shaped distribution curve,limited liability company llc or limited liability partnership llp,0.2121,0.0,DIFFERENT
a bell-shaped distribution curve,a line,bell shaped distribution curve,line,0.1333,0.0,RELATED
a bell-shaped distribution curve,a major expenditure,bell shaped distribution curve,major expenditure,0.2667,0.0,DIFFERENT
a bell-shaped distribution curve,a mathematical function,bell shaped distribution curve,mathematical function,0.2,0.0,A_SUBSUMES_B
a bell-shaped distribution curve,a mathematical method,bell shaped distribution curve,mathematical method,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,a measure,bell shaped distribution curve,measure,0.2,0.0,DIFFERENT
a bell-shaped distribution curve,a measure of center of a data set,bell shaped distribution curve,measure of center of a data set,0.129,0.0,DIFFERENT
a bell-shaped distribution curve,a measure of inflation,bell shaped distribution curve,measure of inflation,0.2667,0.0,DIFFERENT
a bell-shaped distribution curve,a measure of portfolio performance,bell shaped distribution curve,measure of portfolio performance,0.1562,0.0,DIFFERENT
a bell-shaped distribution curve,a measure of the association between two variables,bell shaped distribution curve,measure of the association between two variable,0.234,0.0,DIFFERENT
a bell-shaped distribution curve,a measure of the prices,bell shaped distribution curve,measure of the price,0.2667,0.0,DIFFERENT
a bell-shaped distribution curve,a measure of the spread of a data set,bell shaped distribution curve,measure of the spread of a data set,0.1429,0.0,DIFFERENT
a bell-shaped distribution curve,a meeting,bell shaped distribution curve,meeting,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,a meeting or presentation,bell shaped distribution curve,meeting or presentation,0.2,0.0,DIFFERENT
a bell-shaped distribution curve,a method,bell shaped distribution curve,method,0.1,0.0,DIFFERENT
a bell-shaped distribution curve,a method for estimating the value of an investment,bell shaped distribution curve,method for estimating the value of an investment,0.2083,0.0,DIFFERENT
a bell-shaped distribution curve,a method for valuating a company,bell shaped distribution curve,method for valuating a company,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,a method of accounting,bell shaped distribution curve,method of accounting,0.2333,0.0,DIFFERENT
a bell-shaped distribution curve,a method of comparing projects of different lives,bell shaped distribution curve,method of comparing projects of different live,0.2174,0.0,DIFFERENT
a bell-shaped distribution curve,a method of comparing projects of differing lives,bell shaped distribution curve,method of comparing projects of differing live,0.2174,0.0,DIFFERENT
a bell-shaped distribution curve,a method of organizing and summarizing a data set,bell shaped distribution curve,method of organizing and summarizing a data set,0.2128,0.0,RELATED
a bell-shaped distribution curve,a methodology,bell shaped distribution curve,methodology,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,a metric,bell shaped distribution curve,metric,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,a municipal or corporate bond,bell shaped distribution curve,municipal or corporate bond,0.1,0.0,DIFFERENT
a bell-shaped distribution curve,a nonprofit corporation,bell shaped distribution curve,nonprofit corporation,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,a number,bell shaped distribution curve,number,0.0667,0.0,DIFFERENT
a bell-shaped distribution curve,a partnership,bell shaped distribution curve,partnership,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,a payment,bell shaped distribution curve,payment,0.0667,0.0,DIFFERENT
a bell-shaped distribution curve,a period,bell shaped distribution curve,period,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,a person,bell shaped distribution curve,person,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,a person or an entity,bell shaped distribution curve,person or an entity,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,a principle,bell shaped distribution curve,principle,0.2,0.0,DIFFERENT
a bell-shaped distribution curve,a procedure,bell shaped distribution curve,procedure,0.2,0.0,DIFFERENT
a bell-shaped distribution curve,a quantitative method,bell shaped distribution curve,quantitative method,0.1667,0.0,RELATED
a bell-shaped distribution curve,a ratio,bell shaped distribution curve,ratio,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,a reason for holding an amount of cash,bell shaped distribution curve,reason for holding an amount of cash,0.2222,0.0,DIFFERENT
a bell-shaped distribution curve,a record of financial information,bell shaped distribution curve,record of financial information,0.129,0.0,DIFFERENT
a bell-shaped distribution curve,a report,bell shaped distribution curve,report,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,a reward-to-risk measure of portfolio performance,bell shaped distribution curve,reward to risk measure of portfolio performance,0.2128,0.0,DIFFERENT
a bell-shaped distribution curve,a risk,bell shaped distribution curve,risk,0.0667,0.0,DIFFERENT
a bell-shaped distribution curve,a rule,bell shaped distribution curve,rule,0.1,0.0,DIFFERENT
a bell-shaped distribution curve,a security,bell shaped distribution curve,security,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,a set of cash flows over a period of time,bell shaped distribution curve,set of cash flows over a period of time,0.2308,0.0,DIFFERENT
a bell-shaped distribution curve,a set of formal documents,bell shaped distribution curve,set of formal document,0.2,0.0,DIFFERENT
a bell-shaped distribution curve,a single cash payment,bell shaped distribution curve,single cash payment,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,a specific type of Delaware general corporation,bell shaped distribution curve,specific type of delaware general corporation,0.2,0.0,DIFFERENT
a bell-shaped distribution curve,a standardized contract,bell shaped distribution curve,standardized contract,0.2,0.0,DIFFERENT
a bell-shaped distribution curve,a stock valuation indicator or multiple,bell shaped distribution curve,stock valuation indicator or multiple,0.2162,0.0,DIFFERENT
a bell-shaped distribution curve,a strategic management responsibility,bell shaped distribution curve,strategic management responsibility,0.1143,0.0,DIFFERENT
a bell-shaped distribution curve,a stream of periodic payments,bell shaped distribution curve,stream of periodic payment,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,"a stream of regular, periodic payments",bell shaped distribution curve,stream of regular periodic payment,0.1765,0.0,DIFFERENT
a bell-shaped distribution curve,a subdivision of the National Bureau of Economic Research (NBER),bell shaped distribution curve,subdivision of the national bureau of economic research nber,0.1833,0.0,DIFFERENT
a bell-shaped distribution curve,a sum of money,bell shaped distribution curve,sum of money,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,a theory,bell shaped distribution curve,theory,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,a type of inventory financing,bell shaped distribution curve,type of inventory financing,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,a type of score,bell shaped distribution curve,type of score,0.2333,0.0,DIFFERENT
a bell-shaped distribution curve,a US-specific form of a private limited company; a business structure,bell shaped distribution curve,us specific form of a private limited company a business structure,0.2121,0.0,DIFFERENT
a bell-shaped distribution curve,a weighted average,bell shaped distribution curve,weighted average,0.2333,0.0,DIFFERENT
a bell-shaped distribution curve,ability,bell shaped distribution curve,ability,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,accounting standards,bell shaped distribution curve,accounting standard,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,accounting system,bell shaped distribution curve,accounting system,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,all costs associated with having inventory in stock,bell shaped distribution curve,all costs associated with having inventory in stock,0.2549,0.0,DIFFERENT
a bell-shaped distribution curve,amount of time,bell shaped distribution curve,amount of time,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,an account,bell shaped distribution curve,account,0.1,0.0,DIFFERENT
a bell-shaped distribution curve,an accounting method,bell shaped distribution curve,accounting method,0.1,0.0,DIFFERENT
a bell-shaped distribution curve,an accounting system,bell shaped distribution curve,accounting system,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,an agreement,bell shaped distribution curve,agreement,0.1,0.0,DIFFERENT
a bell-shaped distribution curve,an agreement between two parties,bell shaped distribution curve,agreement between two party,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,an American stock exchange,bell shaped distribution curve,american stock exchange,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,an asset,bell shaped distribution curve,asset,0.1,0.0,DIFFERENT
a bell-shaped distribution curve,an asset or bundle of assets,bell shaped distribution curve,asset or bundle of asset,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,an asset or item,bell shaped distribution curve,asset or item,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,an economic theory,bell shaped distribution curve,economic theory,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,an equation of the form y^=a+bx,bell shaped distribution curve,equation of the form y^=a+bx,0.0667,0.0,DIFFERENT
a bell-shaped distribution curve,an estimate,bell shaped distribution curve,estimate,0.2,0.0,DIFFERENT
a bell-shaped distribution curve,an excess,bell shaped distribution curve,excess,0.1,0.0,DIFFERENT
a bell-shaped distribution curve,an executive-level officer,bell shaped distribution curve,executive level officer,0.2,0.0,DIFFERENT
a bell-shaped distribution curve,an existing corporation,bell shaped distribution curve,existing corporation,0.2333,0.0,DIFFERENT
a bell-shaped distribution curve,an expense,bell shaped distribution curve,expense,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,"an independent, nongovernmental organization",bell shaped distribution curve,independent nongovernmental organization,0.125,0.0,DIFFERENT
a bell-shaped distribution curve,an individual or institution,bell shaped distribution curve,individual or institution,0.2667,0.0,DIFFERENT
a bell-shaped distribution curve,an initial shareholder of a company at the time of its incorporation,bell shaped distribution curve,initial shareholder of a company at the time of its incorporation,0.2308,0.0,DIFFERENT
a bell-shaped distribution curve,an official statement,bell shaped distribution curve,official statement,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,an opportunity cost,bell shaped distribution curve,opportunity cost,0.2,0.0,DIFFERENT
a bell-shaped distribution curve,an option,bell shaped distribution curve,option,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,analysis,bell shaped distribution curve,analysis,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,"annual interest amounts paid, or coupon payments made",bell shaped distribution curve,annual interest amounts paid or coupon payments made,0.2115,0.0,DIFFERENT
a bell-shaped distribution curve,approach,bell shaped distribution curve,approach,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,asset,bell shaped distribution curve,asset,0.1,0.0,DIFFERENT
a bell-shaped distribution curve,assets,bell shaped distribution curve,asset,0.1,0.0,DIFFERENT
a bell-shaped distribution curve,attempting to profit,bell shaped distribution curve,attempting to profit,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,bond issued by a corporation,bell shaped distribution curve,bond issued by a corporation,0.2,0.0,DIFFERENT
a bell-shaped distribution curve,bonds,bell shaped distribution curve,bond,0.1,0.0,DIFFERENT
a bell-shaped distribution curve,cash business transactions,bell shaped distribution curve,cash business transaction,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,cash business transactions reported on the statement of cash flows,bell shaped distribution curve,cash business transactions reported on the statement of cash flow,0.2154,0.0,DIFFERENT
a bell-shaped distribution curve,choosing to purchase or sell the asset underlying a held option,bell shaped distribution curve,choosing to purchase or sell the asset underlying a held option,0.1746,0.0,DIFFERENT
a bell-shaped distribution curve,costs,bell shaped distribution curve,cost,0.0667,0.0,DIFFERENT
a bell-shaped distribution curve,credit,bell shaped distribution curve,credit,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,"cumulative, undistributed net income or net loss",bell shaped distribution curve,cumulative undistributed net income or net loss,0.3191,0.0,DIFFERENT
a bell-shaped distribution curve,data,bell shaped distribution curve,data,0.0667,0.0,RELATED
a bell-shaped distribution curve,data value,bell shaped distribution curve,data value,0.1333,0.0,RELATED
a bell-shaped distribution curve,data values,bell shaped distribution curve,data value,0.1333,0.0,RELATED
a bell-shaped distribution curve,debt or obligation,bell shaped distribution curve,debt or obligation,0.2667,0.0,DIFFERENT
a bell-shaped distribution curve,debt securities,bell shaped distribution curve,debt security,0.2333,0.0,DIFFERENT
a bell-shaped distribution curve,decrease in organizational value,bell shaped distribution curve,decrease in organizational value,0.2812,0.0,DIFFERENT
a bell-shaped distribution curve,decreases in organizational value,bell shaped distribution curve,decreases in organizational value,0.303,0.0,DIFFERENT
a bell-shaped distribution curve,discount,bell shaped distribution curve,discount,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,economies or markets,bell shaped distribution curve,economies or market,0.2,0.0,DIFFERENT
a bell-shaped distribution curve,equity,bell shaped distribution curve,equity,0.1,0.0,DIFFERENT
a bell-shaped distribution curve,equity in a firm,bell shaped distribution curve,equity in a firm,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,expenses,bell shaped distribution curve,expense,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,extra return,bell shaped distribution curve,extra return,0.2333,0.0,DIFFERENT
a bell-shaped distribution curve,facilitate a market and the trading of securities,bell shaped distribution curve,facilitate a market and the trading of security,0.2766,0.0,DIFFERENT
a bell-shaped distribution curve,federal court procedures,bell shaped distribution curve,federal court procedure,0.2667,0.0,DIFFERENT
a bell-shaped distribution curve,financial markets,bell shaped distribution curve,financial market,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,financial obligations,bell shaped distribution curve,financial obligation,0.2333,0.0,DIFFERENT
a bell-shaped distribution curve,financial statement,bell shaped distribution curve,financial statement,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,fixed-income corporate debt securities,bell shaped distribution curve,fixed income corporate debt security,0.1944,0.0,DIFFERENT
a bell-shaped distribution curve,framework for financial analysis,bell shaped distribution curve,framework for financial analysis,0.0938,0.0,DIFFERENT
a bell-shaped distribution curve,government debt instruments,bell shaped distribution curve,government debt instrument,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,grades,bell shaped distribution curve,grade,0.1,0.0,DIFFERENT
a bell-shaped distribution curve,graphical display,bell shaped distribution curve,graphical display,0.1667,0.0,B_SUBSUMES_A
a bell-shaped distribution curve,holding,bell shaped distribution curve,holding,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,income,bell shaped distribution curve,income,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,increases in organizational value,bell shaped distribution curve,increases in organizational value,0.2727,0.0,DIFFERENT
a bell-shaped distribution curve,independent service agencies,bell shaped distribution curve,independent service agency,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,individual,bell shaped distribution curve,individual,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,individuals or a firm,bell shaped distribution curve,individuals or a firm,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,inflows or other enhancements of assets of an entity or settlements of its liabilities (or a combination of both),bell shaped distribution curve,inflows or other enhancements of assets of an entity or settlements of its liabilities or a combination of both,0.1441,0.0,DIFFERENT
a bell-shaped distribution curve,inventory management method,bell shaped distribution curve,inventory management method,0.0333,0.0,DIFFERENT
a bell-shaped distribution curve,investment companies,bell shaped distribution curve,investment company,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,investments,bell shaped distribution curve,investment,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,large CDs issued by financial institutions,bell shaped distribution curve,large cds issued by financial institution,0.2195,0.0,DIFFERENT
a bell-shaped distribution curve,legal term,bell shaped distribution curve,legal term,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,liabilities,bell shaped distribution curve,liability,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,long-term debt obligations,bell shaped distribution curve,long term debt obligation,0.2,0.0,DIFFERENT
a bell-shaped distribution curve,long-term debt obligations issued by the US government,bell shaped distribution curve,long term debt obligations issued by the us government,0.2037,0.0,DIFFERENT
a bell-shaped distribution curve,market,bell shaped distribution curve,market,0.1,0.0,DIFFERENT
a bell-shaped distribution curve,market for longer-term financial instruments,bell shaped distribution curve,market for longer term financial instrument,0.2093,0.0,DIFFERENT
a bell-shaped distribution curve,markets,bell shaped distribution curve,market,0.1,0.0,DIFFERENT
a bell-shaped distribution curve,measures,bell shaped distribution curve,measure,0.2,0.0,DIFFERENT
a bell-shaped distribution curve,members of the labor force,bell shaped distribution curve,members of the labor force,0.2333,0.0,DIFFERENT
a bell-shaped distribution curve,method of accounting,bell shaped distribution curve,method of accounting,0.2333,0.0,DIFFERENT
a bell-shaped distribution curve,metrics,bell shaped distribution curve,metric,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,minimum balance of cash,bell shaped distribution curve,minimum balance of cash,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,monetary legal settlements,bell shaped distribution curve,monetary legal settlement,0.1,0.0,DIFFERENT
a bell-shaped distribution curve,numbers,bell shaped distribution curve,number,0.0667,0.0,RELATED
a bell-shaped distribution curve,numerical values taken from financial statements,bell shaped distribution curve,numerical values taken from financial statement,0.234,0.0,RELATED
a bell-shaped distribution curve,one of the three main areas of finance,bell shaped distribution curve,one of the three main areas of finance,0.2368,0.0,DIFFERENT
a bell-shaped distribution curve,operating cash,bell shaped distribution curve,operating cash,0.2333,0.0,DIFFERENT
a bell-shaped distribution curve,paired data,bell shaped distribution curve,paired data,0.1667,0.0,RELATED
a bell-shaped distribution curve,part of Securities and Exchange Commission (SEC) Rule 415,bell shaped distribution curve,part of securities and exchange commission sec rule 415,0.2182,0.0,DIFFERENT
a bell-shaped distribution curve,portion of the net worth (equity),bell shaped distribution curve,portion of the net worth equity,0.0968,0.0,DIFFERENT
a bell-shaped distribution curve,position,bell shaped distribution curve,position,0.2333,0.0,DIFFERENT
a bell-shaped distribution curve,principle,bell shaped distribution curve,principle,0.2,0.0,DIFFERENT
a bell-shaped distribution curve,probable future sacrifice of economic benefits,bell shaped distribution curve,probable future sacrifice of economic benefit,0.2,0.0,DIFFERENT
a bell-shaped distribution curve,projects,bell shaped distribution curve,project,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,ratio,bell shaped distribution curve,ratio,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,ratios,bell shaped distribution curve,ratio,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,residual interest,bell shaped distribution curve,residual interest,0.2,0.0,DIFFERENT
a bell-shaped distribution curve,risk,bell shaped distribution curve,risk,0.0667,0.0,DIFFERENT
a bell-shaped distribution curve,seller,bell shaped distribution curve,seller,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,shares of ownership in a corporation,bell shaped distribution curve,shares of ownership in a corporation,0.1389,0.0,DIFFERENT
a bell-shaped distribution curve,short-term debt obligations,bell shaped distribution curve,short term debt obligation,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,sources of financing,bell shaped distribution curve,sources of financing,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,standards,bell shaped distribution curve,standard,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,state officials,bell shaped distribution curve,state official,0.2,0.0,DIFFERENT
a bell-shaped distribution curve,system,bell shaped distribution curve,system,0.1,0.0,DIFFERENT
a bell-shaped distribution curve,taking an action,bell shaped distribution curve,taking an action,0.2,0.0,DIFFERENT
a bell-shaped distribution curve,tangible or intangible resources,bell shaped distribution curve,tangible or intangible resource,0.2258,0.0,DIFFERENT
a bell-shaped distribution curve,the actual return,bell shaped distribution curve,actual return,0.2,0.0,DIFFERENT
a bell-shaped distribution curve,the amount,bell shaped distribution curve,amount,0.1,0.0,DIFFERENT
a bell-shaped distribution curve,the amount of money,bell shaped distribution curve,amount of money,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,the average of a firm’s debt and equity costs of capital,bell shaped distribution curve,average of a firms debt and equity costs of capital,0.2157,0.0,DIFFERENT
a bell-shaped distribution curve,the central bank system,bell shaped distribution curve,central bank system,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,the central banking system of the United States,bell shaped distribution curve,central banking system of the united state,0.2619,0.0,DIFFERENT
a bell-shaped distribution curve,the collateral,bell shaped distribution curve,collateral,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,the compound annual return,bell shaped distribution curve,compound annual return,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,the concept,bell shaped distribution curve,concept,0.1,0.0,DIFFERENT
a bell-shaped distribution curve,the continual addition of interest,bell shaped distribution curve,continual addition of interest,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,the current value of a future amount,bell shaped distribution curve,current value of a future amount,0.1562,0.0,DIFFERENT
a bell-shaped distribution curve,the date,bell shaped distribution curve,date,0.1,0.0,DIFFERENT
a bell-shaped distribution curve,the debt,bell shaped distribution curve,debt,0.1,0.0,DIFFERENT
a bell-shaped distribution curve,"the development, oversight, and management",bell shaped distribution curve,development oversight and management,0.1944,0.0,DIFFERENT
a bell-shaped distribution curve,the difference,bell shaped distribution curve,difference,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,the discount rate,bell shaped distribution curve,discount rate,0.2,0.0,DIFFERENT
a bell-shaped distribution curve,the expected return of a security,bell shaped distribution curve,expected return of a security,0.2,0.0,DIFFERENT
a bell-shaped distribution curve,the face value of a convertible bond,bell shaped distribution curve,face value of a convertible bond,0.1562,0.0,DIFFERENT
a bell-shaped distribution curve,the first time,bell shaped distribution curve,first time,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,the horizontal axis,bell shaped distribution curve,horizontal axis,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,the increase in a capital asset’s value,bell shaped distribution curve,increase in a capital assets value,0.1471,0.0,DIFFERENT
a bell-shaped distribution curve,the interest rate,bell shaped distribution curve,interest rate,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,the length of time,bell shaped distribution curve,length of time,0.2,0.0,DIFFERENT
a bell-shaped distribution curve,the market,bell shaped distribution curve,market,0.1,0.0,DIFFERENT
a bell-shaped distribution curve,the market value,bell shaped distribution curve,market value,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,the measure,bell shaped distribution curve,measure,0.2,0.0,DIFFERENT
a bell-shaped distribution curve,the measure of the spread of data values,bell shaped distribution curve,measure of the spread of data value,0.1714,0.0,DIFFERENT
a bell-shaped distribution curve,the measure of the volatility of a stock,bell shaped distribution curve,measure of the volatility of a stock,0.1944,0.0,DIFFERENT
a bell-shaped distribution curve,the merger of a company,bell shaped distribution curve,merger of a company,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,the middle value,bell shaped distribution curve,middle value,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,the minimum amount of return,bell shaped distribution curve,minimum amount of return,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,the minimum return,bell shaped distribution curve,minimum return,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,the mix of financing,bell shaped distribution curve,mix of financing,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,the network of participants and activities,bell shaped distribution curve,network of participants and activity,0.2222,0.0,DIFFERENT
a bell-shaped distribution curve,the number of days,bell shaped distribution curve,number of day,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,the number of shares of common stock,bell shaped distribution curve,number of shares of common stock,0.25,0.0,DIFFERENT
a bell-shaped distribution curve,the part of the business cycle,bell shaped distribution curve,part of the business cycle,0.2333,0.0,DIFFERENT
a bell-shaped distribution curve,the percentage increase,bell shaped distribution curve,percentage increase,0.2333,0.0,DIFFERENT
a bell-shaped distribution curve,the period,bell shaped distribution curve,period,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,the periodic dollar value of interest,bell shaped distribution curve,periodic dollar value of interest,0.1515,0.0,DIFFERENT
a bell-shaped distribution curve,the person,bell shaped distribution curve,person,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,the point,bell shaped distribution curve,point,0.1,0.0,DIFFERENT
a bell-shaped distribution curve,the possibility,bell shaped distribution curve,possibility,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,the present value of cash inflows divided by the present value of cash outflows,bell shaped distribution curve,present value of cash inflows divided by the present value of cash outflow,0.2027,0.0,DIFFERENT
a bell-shaped distribution curve,the present value of the cash inflows of a project,bell shaped distribution curve,present value of the cash inflows of a project,0.2174,0.0,DIFFERENT
a bell-shaped distribution curve,"the present, discounted value",bell shaped distribution curve,present discounted value,0.2667,0.0,DIFFERENT
a bell-shaped distribution curve,the price,bell shaped distribution curve,price,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,the price of one currency,bell shaped distribution curve,price of one currency,0.1667,0.0,DIFFERENT
a bell-shaped distribution curve,the primary system,bell shaped distribution curve,primary system,0.1333,0.0,DIFFERENT
a bell-shaped distribution curve,the principle,bell shaped distribution curve,principle,0.2,0.0,DIFFERENT
a bell-shaped distribution curve,the process,bell shaped distribution curve,process,0.1333,0.0,DIFFERENT
