canonical_relationship,example_instances,match_property_id,match_property_label,match_property_id_verified,match_type,is_causal
is_earned_when,conversion ratio -> each convertible bond that is converted; net income -> greater than expenses and losses; revenue recognition -> product or service has been provided,,,,NONE,False
is_equal_to,capital asset pricing model (CAPM) -> risk-free rate plus a premium for the amount of risk taken; equilibrium price -> quantity supplied,,,,NONE,False
is_evidence_of,bill of lading -> goods have been shipped to the buyer; letter of credit -> guarantee for payments,,,,NONE,False
is_example_of,"amortization -> patents or copyrights; cash budget -> monthly, quarterly, or annually; financial intermediary -> taking demand deposits to create mortgage loans",P31,instance of,True,EXACT,False
is_excess_of,cash deficit -> cash outflows over cash inflows; cash surplus -> cash inflows over cash outflows,,,,NONE,False
is_expected,yield to maturity (YTM) -> on a bond,,,,NONE,False
is_expressed_as,nominal interest rate -> quoted or stated,,,,NONE,False
is_expressed_in_terms_of,exchange rate -> another currency,,,,NONE,False
is_in,median -> ordered data set; owner’s equity -> assets of an entity,P361,part of,True,ANALOGOUS,False
is_in_charge_of,comptroller -> financial reporting; comptroller -> oversight of accounting activities necessary to develop financial reports,,,,NONE,False
is_located_in,Federal Reserve -> united states; NASDAQ (National Association of Securities Dealers Automated Quotations) -> new york city; NYSE (New York Stock Exchange) -> new york city,P131,located in the administrative territorial entity,True,EXACT,False
is_located_on,credit -> right side of an account,P706,located in/on physical feature,True,ANALOGOUS,False
is_located_on_side,debit -> left,,,,NONE,False
is_multiplied_by,coupon rate -> face value of a bond,,,,NONE,False
is_net_of,after-tax cost of debt -> taxes; owner’s equity -> deducting its liabilities,,,,NONE,False
is_of,bond price -> future cash stream generated by a bond; exchange rate -> one currency; expected value -> values of a variable,,,,NONE,False
is_part_of,x-axis -> rectangular coordinate system; y-axis -> rectangular coordinate system,P361,part of,True,EXACT,False
is_seeking,pro forma -> forward; unemployed -> job,,,,NONE,False
is_sum_of,bond price -> present values of all likely coupon payments and the present value of the par value at maturity,,,,NONE,False
is_type_of_agency,Business Cycle Dating Committee -> us government,P31,instance of,True,SPECIALIZATION,False
is_value_of,future value (FV) -> current amount,,,,NONE,False
is_working,unemployed -> no,,,,NONE,False
issued_at,zero-coupon bonds -> deep discount from face value,,,,NONE,False
issued_by,commercial paper (CP) -> firms; debenture -> corporation; floor planning -> financial institution,P176,manufacturer,True,ANALOGOUS,False
issued_in_terms_of,"US Treasury note rate -> two, three, five, seven, and 10 years",,,,NONE,False
issued_to_pay_for,savings bonds -> certain public or government programs,,,,NONE,False
issuer,savings bonds -> us government,P176,manufacturer,True,ANALOGOUS,False
issues,stock corporation -> shares of stock,P1056,product or material produced,False,EXACT,False
issues_to,stock corporation -> shareholders (also known as stockholders),,,,NONE,False
legally_owns,shareholder (stockholder) -> one or more shares of the share capital,P1830,owner of,False,EXACT,False
lending_party,London Interbank Offered Rate (LIBOR) -> major global banks,,,,NONE,False
lists,statement of cash flows -> cash inflows and cash outflows,,,,NONE,False
made_at,single payment or lump sum -> one time,P585,point in time,True,ANALOGOUS,False
made_during_period,quick payment -> falls within the discount period,P580,start time,True,ANALOGOUS,False
made_on,quick payment -> account payable,,,,NONE,False
maintains,Business Cycle Dating Committee -> chronology of us business cycles,,,,NONE,False
maintains_inventory_level,just-in-time inventory -> as little as possible,,,,NONE,False
makes,Treasury bonds -> periodic interest payments; Treasury bonds -> principal payment at maturity; Treasury notes -> periodic interest payment,P1056,product or material produced,False,ANALOGOUS,False
makes_election_to_be_taxed_under,S corporation -> subchapter s of chapter 1 of the internal revenue code,,,,NONE,False
makes_final_decision_in_matters_of,chief financial officer (CFO) -> capital budgeting,,,,NONE,False
manages_type_of_assets,working capital management -> short-term,,,,NONE,False
manages_type_of_liabilities,working capital management -> short-term,,,,NONE,False
marketability_implies,liquidity risk -> can be bought or sold quickly enough to prevent or minimize a loss; marketable securities -> bought or sold on a public exchange (market),,,,NONE,False
